"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"67468","125-71-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Dextromethorphan, w,f<0.2um","ng/l","Dextromethorphan, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67469","604-75-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Oxazepam, w,f<0.2um","ng/l","Oxazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67470","846-49-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Lorazepam, w,f<0.2um","ng/l","Lorazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67471","846-50-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Temazepam, w,f<0.2um","ng/l","Temazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67472","52-53-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Verapamil, w,f<0.2um","ng/l","Verapamil, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67475","396-01-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Triamterene, w,f<0.2um","ng/l","Triamterene, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67476","144-82-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sulfamethizole, w,f<0.2um","ng/l","Sulfamethizole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67477","60-80-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Antipyrine, w,f<0.2um","ng/l","Antipyrine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67478","86386-73-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fluconazole, w,f<0.2um","ng/l","Fluconazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67479","76963-41-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nizatidine, w,f<0.2um","ng/l","Nizatidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67480","6493-05-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Pentoxifylline, w,f<0.2um","ng/l","Pentoxifylline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67481","256-96-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Iminostilbene, w,f<0.2um","ng/l","Iminostilbene, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67483","50-24-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Prednisolone, w,f<0.2um","ng/l","Prednisolone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67484","59277-89-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Acyclovir, w,f<0.2um","ng/l","Acyclovir, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67485","378-44-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Betamethasone, w,f<0.2um","ng/l","Betamethasone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67487","163222-33-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Ezetimibe, w,f<0.2um","ng/l","Ezetimibe, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67488","79794-75-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Loratadine, w,f<0.2um","ng/l","Loratadine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67489","49562-28-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fenofibrate, w,f<0.2um","ng/l","Fenofibrate, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67492","657-24-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metformin, w,f<0.2um","ng/l","Metformin, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67493","54-11-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nicotine, w,f<0.2um","ng/l","Nicotine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67494","58-55-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Theophylline, w,f<0.2um","ng/l","Theophylline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67495","76-42-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Oxycodone, w,f<0.2um","ng/l","Oxycodone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67496","634-03-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Phendimetrazine, w,f<0.2um","ng/l","Phendimetrazine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67497","132-22-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Chlorpheniramine, w,f<0.2um","ng/l","Chlorpheniramine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67498","78-44-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Carisoprodol, w,f<0.2um","ng/l","Carisoprodol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67499","439-14-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Diazepam, w,f<0.2um","ng/l","Diazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67500","76-99-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methadone, w,f<0.2um","ng/l","Methadone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67501","532-03-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methocarbamol, w,f<0.2um","ng/l","Methocarbamol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67502","29122-68-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Atenolol, w,f<0.2um","ng/l","Atenolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67503","122-11-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sulfadimethoxine, w,f<0.2um","ng/l","Sulfadimethoxine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67504","1665-48-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metaxalone, w,f<0.2um","ng/l","Metaxalone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67505","59729-33-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Citalopram, w,f<0.2um","ng/l","Citalopram, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67506","125-29-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydrocodone, w,f<0.2um","ng/l","Hydrocodone, water,filtered (0.2 micron filter0, recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67507","124832-26-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Valacyclovir, w,f<0.2um","ng/l","Valacyclovir, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67508","186691-13-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Tiotropium, w,f<0.2um","ng/l","Tiotropium, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"72053","","Sample Information","Sample Information","Days since last precip event","days","Number of days since last precipitation event","","","","","","",""
"00572","","Biological","Biological","Biomass, periphyton, ash wt","g/m2","Biomass, periphyton, ash weight, grams per square meter","Biological Tissue","","","","","Ash Weight",""
"91156","","Physical","Physical","Moisture content, bs, dry","%","Moisture content, bed sediment, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"04044","7440-38-2","Major and Trace Elements","Major and Trace Elements","Arsenic, bs<2mm, total digest","mg/kg","Arsenic, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04045","7440-39-3","Major and Trace Elements","Major and Trace Elements","Barium, bs<2mm, total digest","mg/kg","Barium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04046","7440-41-7","Major and Trace Elements","Major and Trace Elements","Beryllium,bs<2mm,total digest","mg/kg","Beryllium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04047","7440-69-9","Major and Trace Elements","Major and Trace Elements","Bismuth, bs<2mm, total digest","mg/kg","Bismuth, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04049","7440-43-9","Major and Trace Elements","Major and Trace Elements","Cadmium, bs<2mm, total digest","mg/kg","Cadmium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04050","7440-70-2","Major and Trace Elements","Major and Trace Elements","Calcium, bs<2mm, total digest","%","Calcium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04051","7440-45-1","Major and Trace Elements","Major and Trace Elements","Cerium, bs<2mm, total digest","mg/kg","Cerium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04052","7440-47-3","Major and Trace Elements","Major and Trace Elements","Chromium, bs<2mm,total digest","mg/kg","Chromium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04053","7440-48-4","Major and Trace Elements","Major and Trace Elements","Cobalt, bs<2mm, total digest","mg/kg","Cobalt, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04054","7440-50-8","Major and Trace Elements","Major and Trace Elements","Copper, bs<2mm, total digest","mg/kg","Copper, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04056","7440-55-3","Major and Trace Elements","Major and Trace Elements","Gallium, bs<2mm, total digest","mg/kg","Gallium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"34203","208-96-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Acenaphthylene, bs","ug/kg","Acenaphthylene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34208","83-32-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Acenaphthene, bs","ug/kg","Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34223","120-12-7","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Anthracene, bs","ug/kg","Anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34233","205-99-2","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[b]fluoranthene, bs","ug/kg","Benzo[b]fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34245","207-08-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[k]fluoranthene, bs","ug/kg","Benzo[k]fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34250","50-32-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[a]pyrene, bs","ug/kg","Benzo[a]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34323","218-01-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Chrysene, bs","ug/kg","Chrysene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34379","206-44-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Fluoranthene, bs","ug/kg","Fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34384","86-73-7","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","9H-Fluorene, bs","ug/kg","9H-Fluorene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34406","193-39-5","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Indenopyrene, bs","ug/kg","Indeno[1,2,3-cd]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34445","91-20-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Naphthalene, bs","ug/kg","Naphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34464","85-01-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Phenanthrene, bs","ug/kg","Phenanthrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34472","129-00-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Pyrene, bs","ug/kg","Pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34524","191-24-2","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[ghi]perylene, bs","ug/kg","Benzo[ghi]perylene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34529","56-55-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[a]anthracene, bs","ug/kg","Benzo[a]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34559","53-70-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Dibenzo[a,h]anthracene, bs","ug/kg","Dibenzo[a,h]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39046","122-34-9","Organics, Pesticides","Organics, Pesticides","Simazine, bs","ug/kg","Simazine, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39050","78-48-8","Organics, Pesticides","Organics, Pesticides","Tribufos, bs","ug/kg","Tribufos, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"63041","14797-71-8","Nutrients","Nutrients","delta O-18/O-16, NO3, wf","per mil","delta oxygen-18/oxygen-16 of nitrate, water, filtered, per mil","Water","Dissolved","","","","",""
"82690","","Nutrients","Nutrients","delta N-15/N-14, NO3, wf","per mil","delta nitrogen-15/nitrogen-14 of nitrate, water, filtered, per mil","Water","Dissolved","","","","",""
"39301","50-29-3","Organics, Pesticides","Organics, Pesticides","p,p'-DDT, bs","ug/kg","p,p'-DDT, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39311","72-54-8","Organics, Pesticides","Organics, Pesticides","p,p'-DDD, bs","ug/kg","p,p'-DDD, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39321","72-55-9","Organics, Pesticides","Organics, Pesticides","p,p'-DDE, bs","ug/kg","p,p'-DDE, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39531","121-75-5","Organics, Pesticides","Organics, Pesticides","Malathion, bs","ug/kg","Malathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39571","333-41-5","Organics, Pesticides","Organics, Pesticides","Diazinon, bs","ug/kg","Diazinon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39601","298-00-0","Organics, Pesticides","Organics, Pesticides","Methyl parathion, bs","ug/kg","Methyl parathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39631","1912-24-9","Organics, Pesticides","Organics, Pesticides","Atrazine, bs","ug/kg","Atrazine, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"49446","82-68-8","Organics, Pesticides","Organics, Pesticides","Pentachloronitrobenzene, bs<2","ug/kg","Pentachloronitrobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"49460","1825-21-4","Organics, Pesticides","Organics, Pesticides","Pentachloroanisole, bs<2mm,ws","ug/kg","Pentachloroanisole, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"53651","","Major and Trace Elements","Major and Trace Elements","Aluminum, bs","%","Aluminum, bed sediment, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53652","","Major and Trace Elements","Major and Trace Elements","Titanium, bs","%","Titanium, bed sediment, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53653","","Major and Trace Elements","Major and Trace Elements","Sulfur, bs","%","Sulfur, bed sediment, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53654","","Major and Trace Elements","Major and Trace Elements","Gold, bs","mg/kg","Gold, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53655","","Major and Trace Elements","Major and Trace Elements","Bismuth, bs","mg/kg","Bismuth, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53656","","Major and Trace Elements","Major and Trace Elements","Cerium, bs","mg/kg","Cerium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53657","","Major and Trace Elements","Major and Trace Elements","Cesium, bs","mg/kg","Cesium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53658","","Major and Trace Elements","Major and Trace Elements","Gallium, bs","mg/kg","Gallium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53659","","Major and Trace Elements","Major and Trace Elements","Germanium, bs","mg/kg","Germanium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53660","","Major and Trace Elements","Major and Trace Elements","Hafnium, bs","mg/kg","Hafnium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53661","","Major and Trace Elements","Major and Trace Elements","Indium, bs","mg/kg","Indium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53662","","Major and Trace Elements","Major and Trace Elements","Lanthanum, bs","mg/kg","Lanthanum, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53663","","Major and Trace Elements","Major and Trace Elements","Lithium, bs","mg/kg","Lithium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53664","","Major and Trace Elements","Major and Trace Elements","Niobium, bs","mg/kg","Niobium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53665","","Nutrients","Nutrients","Phosphorus, bs","mg/kg as P","Phosphorus, bed sediment, recoverable, dry weight, milligrams per kilogram as phosphorus","Sediment","Bed Sediment","","","","Dry",""
"53666","","Major and Trace Elements","Major and Trace Elements","Rubidium, bs","mg/kg","Rubidium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53667","","Major and Trace Elements","Major and Trace Elements","Rhenium, bs","mg/kg","Rhenium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53668","","Major and Trace Elements","Major and Trace Elements","Scandium, bs","mg/kg","Scandium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53669","","Major and Trace Elements","Major and Trace Elements","Tantalum, bs","mg/kg","Tantalum, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53670","","Major and Trace Elements","Major and Trace Elements","Tellurium, bs","mg/kg","Tellurium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53671","","Major and Trace Elements","Major and Trace Elements","Thorium, bs","mg/kg","Thorium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53672","","Major and Trace Elements","Major and Trace Elements","Uranium, bs","mg/kg","Uranium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53673","","Major and Trace Elements","Major and Trace Elements","Yttrium, bs","mg/kg","Yttrium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53674","","Major and Trace Elements","Major and Trace Elements","Zirconium, bs","mg/kg","Zirconium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53675","","Major and Trace Elements","Major and Trace Elements","Aluminum, bs, NH2OH extract","%","Aluminum, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53676","","Inorganics, Major Ions","Inorganics, Major Ions","Sulfur, bs, NH2OH extract","%","Sulfur, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53677","","Major and Trace Elements","Major and Trace Elements","Titanium, bs, NH2OH extract","%","Titanium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, percent","Sediment","Bed Sediment","","","","Dry",""
"53678","","Major and Trace Elements","Major and Trace Elements","Silver, bs, NH2OH extract","mg/kg","Silver, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53679","","Major and Trace Elements","Major and Trace Elements","Arsenic, bs, NH2OH extract","mg/kg","Arsenic, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53680","","Major and Trace Elements","Major and Trace Elements","Gold, bs, NH2OH extract","mg/kg","Gold, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53681","","Major and Trace Elements","Major and Trace Elements","Boron, bs, NH2OH extract","mg/kg","Boron, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53682","","Major and Trace Elements","Major and Trace Elements","Barium, bs, NH2OH extract","mg/kg","Barium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53683","","Major and Trace Elements","Major and Trace Elements","Beryllium, bs, NH2OH extract","mg/kg","Beryllium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53684","","Major and Trace Elements","Major and Trace Elements","Bismuth, bs, NH2OH extract","mg/kg","Bismuth, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53685","","Major and Trace Elements","Major and Trace Elements","Calcium, bs, NH2OH extract","mg/kg","Calcium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53686","","Major and Trace Elements","Major and Trace Elements","Cadmium, bs, NH2OH extract","mg/kg","Cadmium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53687","","Major and Trace Elements","Major and Trace Elements","Cerium, bs, NH2OH extract","mg/kg","Cerium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53688","","Major and Trace Elements","Major and Trace Elements","Cobalt, bs, NH2OH extract","mg/kg","Cobalt, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53689","","Major and Trace Elements","Major and Trace Elements","Chromium, bs, NH2OH extract","mg/kg","Chromium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53690","","Major and Trace Elements","Major and Trace Elements","Cesium, bs, NH2OH extract","mg/kg","Cesium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53691","","Major and Trace Elements","Major and Trace Elements","Copper, bs, NH2OH extract","mg/kg","Copper, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53692","","Major and Trace Elements","Major and Trace Elements","Iron, bs, NH2OH extract","mg/kg","Iron, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53693","","Major and Trace Elements","Major and Trace Elements","Gallium, bs, NH2OH extract","mg/kg","Gallium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53694","","Major and Trace Elements","Major and Trace Elements","Germanium, bs, NH2OH extract","mg/kg","Germanium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53695","","Major and Trace Elements","Major and Trace Elements","Hafnium, bs, NH2OH extract","mg/kg","Hafnium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
